iter	Passed	Remaining
0	0	46
1	0	40
2	1	37
3	1	34
4	1	33
5	2	32
6	2	31
7	2	30
8	2	29
9	3	29
10	3	28
11	3	28
12	4	28
13	4	27
14	4	27
15	5	26
16	5	26
17	5	25
18	5	25
19	6	25
20	6	24
21	6	24
22	7	23
23	7	23
24	7	23
25	7	22
26	8	22
27	8	21
28	8	21
29	9	21
30	9	20
31	9	20
32	9	20
33	10	19
34	10	19
35	10	19
36	11	18
37	11	18
38	11	18
39	11	17
40	12	17
41	12	17
42	12	17
43	13	16
44	13	16
45	13	16
46	14	15
47	14	15
48	14	15
49	15	15
50	15	14
51	15	14
52	15	14
53	16	13
54	16	13
55	16	13
56	17	12
57	17	12
58	17	12
59	17	11
60	18	11
61	18	11
62	18	11
63	19	10
64	19	10
65	19	10
66	19	9
67	20	9
68	20	9
69	20	8
70	21	8
71	21	8
72	21	8
73	21	7
74	22	7
75	22	7
76	22	6
77	23	6
78	23	6
79	23	5
80	23	5
81	24	5
82	24	4
83	24	4
84	24	4
85	25	4
86	25	3
87	25	3
88	26	3
89	26	2
90	26	2
91	26	2
92	27	2
93	27	1
94	27	1
95	28	1
96	28	0
97	28	0
98	28	0
99	29	0
